"日時","貯水率","流入量","放流量"
"2025/05/22 00:00",99.5,2.68,2.69
"2025/05/21 23:00",99.5,2.68,2.68
"2025/05/21 22:00",99.6,4.17,4.17
"2025/05/21 21:00",99.7,5.02,4.91
"2025/05/21 20:00",99.8,1.7,5.67
"2025/05/21 19:00",99.9,2.76,5.67
"2025/05/21 18:00",99.8,2.68,2.69
"2025/05/21 17:00",99.8,2.69,2.68
"2025/05/21 16:00",99.8,0.92,0.92
"2025/05/21 15:00",99.8,0.92,0.92
"2025/05/21 14:00",99.8,0.83,0.92
"2025/05/21 13:00",99.8,0.61,0.61
"2025/05/21 12:00",99.8,0.61,0.61
"2025/05/21 11:00",99.8,0.61,0.61
"2025/05/21 10:00",99.8,0.61,0.61
"2025/05/21 09:00",99.8,0.61,0.61
"2025/05/21 08:00",99.8,0.18,0.61
"2025/05/21 07:00",99.8,0.43,0.61
"2025/05/21 06:00",99.8,0.61,0.61
"2025/05/21 05:00",99.8,0.61,0.61
"2025/05/21 04:00",99.8,0.61,0.61
"2025/05/21 03:00",99.8,0.61,0.62
"2025/05/21 02:00",99.8,0.61,0.61
"2025/05/21 01:00",99.8,0.61,0.61
"2025/05/21 00:00",99.8,0.61,0.61
"2025/05/20 23:00",99.8,0.61,0.61
"2025/05/20 22:00",99.8,0.61,0.61
"2025/05/20 21:00",99.8,0.61,0.61
"2025/05/20 20:00",99.8,0.61,0.62
"2025/05/20 19:00",99.8,0.61,0.62
"2025/05/20 18:00",99.8,0.61,0.61
"2025/05/20 17:00",99.8,0.61,0.61
"2025/05/20 16:00",99.8,0.61,0.61
"2025/05/20 15:00",99.8,0.61,0.61
"2025/05/20 14:00",99.8,0.61,0.61
"2025/05/20 13:00",99.8,0.61,0.61
"2025/05/20 12:00",99.8,0.61,0.61
"2025/05/20 11:00",99.8,0.61,0.6
"2025/05/20 10:00",99.8,0.61,0.61
"2025/05/20 09:00",99.8,0.64,0.61
"2025/05/20 08:00",99.8,0.67,0.66
"2025/05/20 07:00",99.8,0.67,0.67
"2025/05/20 06:00",99.8,0.66,0.66
"2025/05/20 05:00",99.8,0.66,0.67
"2025/05/20 04:00",99.8,0.66,0.67
"2025/05/20 03:00",99.8,0.66,0.67
"2025/05/20 02:00",99.8,0.66,0.67
"2025/05/20 01:00",99.8,0.66,0.66
"2025/05/20 00:00",99.8,0.66,0.67
"2025/05/19 23:00",99.8,0.66,0.66
